sha,message,author,date,additions,deletions,total_changes,files_changed,bug_fix
4ed3d1b3204caa6806a36125a39589044a02e807,Bump actions/checkout from 6.0.2 to 7.0.0 in the actions group (#7540),dependabot[bot],2026-06-24T22:47:15Z,8,8,16,6,0
d44b67eb55f3dea5a36024b8c4ae6a5c37bca617,Bump https://github.com/astral-sh/ruff-pre-commit (#7536),dependabot[bot],2026-06-24T22:40:29Z,1,1,2,1,0
74c56d5ffb0ad718dbd011b983d056c994355d7d,Inline pre-commit linting (#7539),Nate Prewitt,2026-06-24T22:40:12Z,6,1,7,2,0
d64b9ad4bf1c14e21e0df3f0f4320fec81180e91,Bump https://github.com/astral-sh/ruff-pre-commit (#7515),dependabot[bot],2026-06-15T18:12:28Z,1,1,2,1,0
6f66281a1d6326b1b9c4ac09ca30de0fc4e6ef43,Add hasattr checks for remaining protocol isinstance checks (#7505),Nate Prewitt,2026-06-09T15:45:59Z,24,7,31,3,0
6f205ff422bccd5e4c4fc0b64c5f3e7df5181db6,Fix `_encode_files` detection for `__getattr__`-based file wrappers (#7502),Loïc Pernod,2026-06-08T20:52:51Z,14,1,15,2,1
661970d171d9c3e12e4c789c4768db647d8c4da0,Disable commonly ignored Pyright linting rules (#7497),Joren Hammudoglu,2026-06-08T17:33:26Z,36,29,65,10,0
fbd0eb37320376740a1010f52f2b9870e8210d88,Bump https://github.com/astral-sh/ruff-pre-commit (#7503),dependabot[bot],2026-06-08T17:04:24Z,1,1,2,1,0
1190afd14fca74292946d62c4c8169880a47ff67,Add type annotation for `Request.hooks` (#7498),Joren Hammudoglu,2026-06-04T21:43:21Z,1,0,1,1,0
e50e5945294f79ee9ab4ec69de24d14f9b26a7ae,Improve static typing of 3rd party imports  (#7496),Joren Hammudoglu,2026-06-04T17:20:33Z,19,14,33,5,1
3be097d450ee4ca8a2f9c1a3a58eb61ed19936b0,Bump https://github.com/astral-sh/ruff-pre-commit (#7493),dependabot[bot],2026-06-03T00:45:34Z,1,1,2,1,0
a634611dd1bbf1455723cff0af2ecc30866d880c,Bump github/codeql-action from 4.35.1 to 4.36.0 in the actions group (#7492),dependabot[bot],2026-06-03T00:44:54Z,3,3,6,1,0
c4367f231b5dc54f23f2983828562ce3a7555a8a,Add AI Policy,Ian Stapleton Cordasco,2026-05-31T12:33:11Z,94,1,95,2,0
cd90742ed94d901759e26766197d0ce7c7bd9c8e,docs: indent continuation line in Session.get :param params: (#7460),aldbr,2026-05-18T15:02:35Z,1,1,2,1,0
6e83187b8feb273ed4c6cdab5efd8d54901dfab3,v2.34.2,Nate Prewitt,2026-05-14T19:21:52Z,10,2,12,2,0
84d10f0be83e8f6aeca8a05230c52216431c4d0b,Move Request.headers back to Mapping (#7441),Nate Prewitt,2026-05-14T16:16:25Z,2,3,5,2,0
b7b549b54571d03950b16afd2d01bc6ff0348224,v2.34.1,Nate Prewitt,2026-05-13T19:17:24Z,16,2,18,2,0
e511bc72777a94c45d004e010c597925092e1efe,Fix mutability issues with headers input types (#7431),Nate Prewitt,2026-05-13T19:16:50Z,6,6,12,3,1
5691f596134c2feb121e595c77a0178921fcce61,Update JsonType containers to read-based collections (#7436),Nate Prewitt,2026-05-13T14:43:16Z,8,2,10,1,0
2144213c307691710c9d665700860fc4993c3035,Constrain Response.reason to str (#7437),Nate Prewitt,2026-05-13T14:42:42Z,2,2,4,1,0
6404f345e562d962abe6700a1c357ec1e7e18232,Fix `prepare_body` stream detection for `__getattr__`-based file wrappers (#7433),Kaeun Kim,2026-05-12T17:51:01Z,18,3,21,2,1
0b401c76b6e80a4eecf3c690085b2553f6e261ca,v2.34.0,Nate Prewitt,2026-05-11T19:24:57Z,22,7,29,2,0
86b378d3f60f828daa13ca50aa82e287ff7b66b4,Align Session.get parameters with requests.get (#7429),Nate Prewitt,2026-05-11T19:24:34Z,9,2,11,1,0
a4f9a5999bdb9bf2d6e7c8aa973b28cacb17134f,Port bpo-39057 to Requests (#7427),Nate Prewitt,2026-05-11T19:24:21Z,27,2,29,2,0
3816cfa1abd42dca21b9e837f26c59b246016aaf,Parameterize SupportsItems to handle Mapping key invariance (#7426),Nate Prewitt,2026-05-11T17:33:17Z,9,7,16,2,0
b684dcb9bbf3aa557d1238e72062c4a29737dd1c,sessions: fix hooks type (#7425),Sebastian Meyer,2026-05-11T16:14:13Z,2,2,4,2,1
dc9dbdfb3434c6e58d48fd102f93e5342308817e,Formalize 3.15 support (#7422),Nate Prewitt,2026-05-11T02:05:34Z,1,1,2,2,0
25340ebad09a38e0748aeb26232102022a03ec94,Clear proxy env vars before every test run (#7423),Nate Prewitt,2026-05-11T02:05:15Z,9,0,9,1,0
fd628095d7b9ddbf3e987d8a4bf0e6062768916f,Preserve leading slashes in request path_url (#7315),typhon8,2026-05-10T21:41:25Z,2,4,6,2,0
e8d2c015eecda8273612dd4562425e00cd164ba5,docs: Fix missing hook output in docs example (#7421),eggsort,2026-05-09T18:51:50Z,1,0,1,1,1
eb173bc819c72580deed2d54190d340cc769e529,Add 3.14t support to CI (#7419),Nate Prewitt,2026-05-08T20:18:00Z,2,1,3,2,0
d60f4773b1f5932e2715b2c64b333649edbb405b,Cleanup remaining http:// reference URIs,Nate Prewitt,2026-05-07T21:47:07Z,7,7,14,5,0
f64a0d782b2a9310340aba929f44bb887d2f27e0,docs: update stale Sphinx link in contributing guide,Joshua Kothapalle,2026-05-07T21:25:17Z,1,1,2,1,0
04d750509b90da728e53aee8d7516426e5a1a293,Bump https://github.com/astral-sh/ruff-pre-commit (#7411),dependabot[bot],2026-05-04T21:42:06Z,1,1,2,1,0
f7822f7c4185b45527f171095c4edf8777efe51b,v2.34.0.dev1,Nate Prewitt,2026-05-03T19:51:27Z,17,2,19,2,0
